2014	1	1	2	13	45	13	57	4	4
2014	1	1	2	13	28	13	43	4	1
2014	1	1	2	13	59	14	18	4	1
2014	1	1	4	12	24	12	35	4	1
2014	1	1	4	12	40	12	50	4	1
2014	1	1	5	15	33	15	49	4	1
2014	1	1	12	11	26	11	44	4	1
2014	1	1	14	11	29	11	39	4	4
2014	1	1	17	11	31	11	43	4	1
2014	1	1	17	11	1	11	13	4	1
2014	1	1	24	11	27	11	47	4	1
2014	1	1	24	11	49	11	59	4	1
2014	1	1	25	13	35	14	10	4	1
2014	1	1	29	14	46	15	13	4	1
2014	1	1	29	13	35	13	51	4	1
2014	1	1	29	14	32	14	44	4	1
2014	1	1	31	13	53	14	10	4	1
2014	2	1	12	12	28	12	39	4	5
2014	2	1	12	12	11	12	26	4	5
2014	2	1	15	18	30	18	55	4	1
2014	2	1	18	18	22	18	34	4	1
2014	2	1	18	18	40	18	54	4	1
2014	2	1	21	18	26	18	36	4	1
2014	2	1	22	18	22	18	32	4	1
2014	2	1	24	11	54	12	5	4	5
2014	2	1	31	13	3	13	13	4	5
2014	3	1	9	7	55	8	6	4	4
2014	3	1	24	11	40	11	56	4	5
2014	4	1	4	11	30	11	43	4	1
2014	4	1	12	12	12	12	23	4	1
2014	16	1	13	3	2	3	17	4	5
2014	17	1	13	3	5	3	16	4	5
2014	21	1	4	11	27	11	38	4	1
2014	21	1	4	11	2	11	13	4	2
2014	22	1	2	12	43	12	58	4	1
2014	22	1	4	10	29	10	42	4	7
2014	22	1	12	10	25	10	49	4	1
2014	47	1	2	10	11	10	21	4	2
2014	47	1	6	15	32	15	42	4	1
2014	47	1	12	10	9	10	24	4	2
2014	47	1	15	15	46	16	4	4	1
2014	47	1	22	15	25	15	40	4	4
2014	47	1	22	16	23	16	34	4	4
2014	47	1	25	10	2	10	22	4	2
2014	47	1	31	9	59	10	25	4	2
2014	47	1	31	11	36	11	47	4	2
2014	49	1	31	22	9	22	38	4	2
2014	50	1	2	9	2	9	20	4	1
