2014	2	1	12	12	28	12	39	4
2014	2	1	12	12	11	12	26	4
2014	4	1	12	12	12	12	23	4
2014	50	1	12	8	49	9	13	4
2014	50	1	12	9	20	9	38	4
2014	50	1	12	8	3	8	21	4
2014	50	1	21	13	22	13	57	4
2014	50	1	21	14	2	14	26	4
2014	50	1	25	8	55	9	36	4
2014	50	1	26	4	34	4	51	4
2014	50	1	26	4	20	4	31	4
2014	50	1	28	4	17	4	30	4
2014	51	1	12	8	41	8	54	4
2014	51	1	12	8	28	8	39	4
2014	51	1	24	7	4	7	16	4
2014	51	1	25	9	56	10	21	4
2014	51	1	25	10	25	10	36	4
2014	51	1	29	11	19	11	57	4
2014	51	1	29	12	1	12	15	4
2014	51	1	29	12	22	12	38	4
2014	52	1	21	12	28	12	57	4
2014	52	1	21	13	2	13	16	4
2014	52	1	21	13	29	13	42	4
2014	52	1	25	9	49	10	8	4
2014	52	1	29	11	20	11	35	4
2014	53	1	29	11	5	11	16	4
2014	54	1	21	13	37	13	47	4
2014	54	1	21	13	21	13	36	4
2014	54	1	25	10	22	10	32	4
2014	54	1	29	10	22	10	34	4
2014	54	1	29	10	36	10	49	4
2014	54	1	29	11	13	11	31	4
2014	55	1	25	9	54	10	4	4
2014	59	1	12	8	5	8	30	4
2014	59	1	12	9	7	9	26	4
2014	59	1	25	9	11	9	24	4
2014	60	1	12	8	3	8	25	4
2014	60	1	25	9	19	9	30	4
2014	60	1	25	9	46	10	2	4
2014	60	1	25	9	30	9	43	4
2014	60	1	29	10	45	11	3	4
2014	72	1	12	7	8	7	20	4
2014	73	1	21	12	32	12	58	4
2014	233	1	20	8	57	9	9	5
2014	239	1	20	8	31	9	12	5
2014	242	1	7	11	52	12	2	5
2014	242	1	10	11	37	12	6	5
2014	243	1	13	10	44	11	3	5
2014	243	1	13	10	26	10	40	5
2014	246	1	13	10	21	10	56	5
2014	248	1	23	8	56	9	11	5
2014	254	1	7	11	21	11	36	6
2014	254	1	30	12	7	12	19	6
2014	255	1	13	9	31	9	46	6
2014	255	1	13	9	1	9	30	6
2014	255	1	23	9	5	9	23	6
2014	262	1	30	11	55	12	6	6
2014	265	1	8	10	13	10	25	6
2014	267	1	7	10	8	10	21	6
2014	267	1	8	9	53	10	17	6
2014	267	1	8	9	17	9	30	6
2014	267	1	9	8	30	8	46	6
2014	267	1	9	9	10	9	26	6
2014	267	1	10	10	5	10	17	6
2014	267	1	13	8	30	8	46	6
2014	267	1	13	9	10	9	23	6
2014	267	1	23	8	29	8	47	6
2014	267	1	26	13	43	13	57	6
2014	267	1	28	13	11	13	38	6
2014	269	1	30	11	48	12	0	6
2014	270	1	8	9	28	9	52	6
2014	270	1	9	9	30	9	51	6
2014	270	1	10	9	28	9	43	6
2014	270	1	13	9	35	9	52	6
2014	270	1	32	5	30	5	44	6
2014	271	1	30	12	0	12	10	6
2014	274	1	7	10	23	10	38	6
2014	274	1	30	10	23	10	40	6
2014	282	1	7	8	57	9	18	6
2014	282	1	9	7	52	8	6	6
2014	282	1	10	9	1	9	14	6
2014	282	1	28	11	58	12	18	6
2014	288	1	30	10	13	10	23	6
2014	288	1	30	9	57	10	10	6
2014	293	1	26	11	46	12	1	6
2014	294	1	7	8	57	9	8	6
2014	294	1	13	8	57	9	9	6
2014	294	1	30	8	56	9	9	6
2014	299	1	12	14	36	14	47	5
2014	299	1	30	9	44	10	2	5
2014	300	1	26	10	36	10	46	5
2014	308	1	7	7	42	7	54	5
2014	308	1	12	14	56	15	12	5
2014	308	1	12	14	27	14	39	5
2014	308	1	13	7	47	8	1	5
2014	308	1	13	8	26	8	37	5
2014	308	1	24	13	46	13	57	5
2014	308	1	26	10	22	10	36	5
2014	308	1	30	8	48	8	59	5
2014	309	1	13	7	55	8	15	5
2014	309	1	30	9	35	9	49	5
2014	311	1	13	7	46	8	6	5
2014	311	1	28	10	39	10	50	5
2014	311	1	30	7	46	7	57	5
2014	314	1	12	14	0	14	15	5
2014	314	1	12	14	22	14	38	5
2014	314	1	13	7	46	8	17	5
2014	314	1	28	10	19	10	30	5
2014	314	1	28	10	35	10	51	5
